text,label
Therapy is helping me cope,0
Therapy is helping me cope,0
I'm feeling down but talking to friends helps,0
I'm feeling down but talking to friends helps,0
"Feeling hopeless, no reason to live",1
Today was tough but I'm managing,0
Today was tough but I'm managing,0
Therapy is helping me cope,0
Trying to stay positive despite stress,0
I want to end my life tonight,1
Trying to stay positive despite stress,0
I want to end my life tonight,1
I'm feeling down but talking to friends helps,0
Therapy is helping me cope,0
Today was tough but I'm managing,0
Trying to stay positive despite stress,0
I want to end my life tonight,1
Trying to stay positive despite stress,0
Therapy is helping me cope,0
"Feeling hopeless, no reason to live",1
Therapy is helping me cope,0
I've planned to take pills,1
"Feeling hopeless, no reason to live",1
Trying to stay positive despite stress,0
I've planned to take pills,1
"Feeling hopeless, no reason to live",1
"I can't go on anymore, goodbye",1
Today was tough but I'm managing,0
Today was tough but I'm managing,0
Trying to stay positive despite stress,0
I've planned to take pills,1
"Feeling hopeless, no reason to live",1
Therapy is helping me cope,0
"Feeling hopeless, no reason to live",1
I've planned to take pills,1
I've planned to take pills,1
Trying to stay positive despite stress,0
I'm feeling down but talking to friends helps,0
Therapy is helping me cope,0
"Feeling hopeless, no reason to live",1
I want to end my life tonight,1
I want to end my life tonight,1
I want to end my life tonight,1
Today was tough but I'm managing,0
"Feeling hopeless, no reason to live",1
"I can't go on anymore, goodbye",1
I'm feeling down but talking to friends helps,0
Therapy is helping me cope,0
"Feeling hopeless, no reason to live",1
Therapy is helping me cope,0
Today was tough but I'm managing,0
Trying to stay positive despite stress,0
"I can't go on anymore, goodbye",1
Today was tough but I'm managing,0
"Feeling hopeless, no reason to live",1
I've planned to take pills,1
Therapy is helping me cope,0
I've planned to take pills,1
"I can't go on anymore, goodbye",1
I'm feeling down but talking to friends helps,0
I want to end my life tonight,1
I've planned to take pills,1
Today was tough but I'm managing,0
"I can't go on anymore, goodbye",1
I'm feeling down but talking to friends helps,0
I'm feeling down but talking to friends helps,0
Today was tough but I'm managing,0
Today was tough but I'm managing,0
I've planned to take pills,1
Trying to stay positive despite stress,0
"Feeling hopeless, no reason to live",1
"I can't go on anymore, goodbye",1
Today was tough but I'm managing,0
Therapy is helping me cope,0
I want to end my life tonight,1
"I can't go on anymore, goodbye",1
I'm feeling down but talking to friends helps,0
"Feeling hopeless, no reason to live",1
Therapy is helping me cope,0
"Feeling hopeless, no reason to live",1
Trying to stay positive despite stress,0
I've planned to take pills,1
"Feeling hopeless, no reason to live",1
"Feeling hopeless, no reason to live",1
I've planned to take pills,1
I'm feeling down but talking to friends helps,0
Today was tough but I'm managing,0
Today was tough but I'm managing,0
Therapy is helping me cope,0
"Feeling hopeless, no reason to live",1
I've planned to take pills,1
"Feeling hopeless, no reason to live",1
Today was tough but I'm managing,0
I've planned to take pills,1
Trying to stay positive despite stress,0
I want to end my life tonight,1
I'm feeling down but talking to friends helps,0
I want to end my life tonight,1
"Feeling hopeless, no reason to live",1
Today was tough but I'm managing,0
I'm feeling down but talking to friends helps,0
"Feeling hopeless, no reason to live",1
I'm feeling down but talking to friends helps,0
I want to end my life tonight,1
Trying to stay positive despite stress,0
I'm feeling down but talking to friends helps,0
Today was tough but I'm managing,0
Trying to stay positive despite stress,0
I want to end my life tonight,1
Therapy is helping me cope,0
I'm feeling down but talking to friends helps,0
Trying to stay positive despite stress,0
Therapy is helping me cope,0
I'm feeling down but talking to friends helps,0
I've planned to take pills,1
I want to end my life tonight,1
I want to end my life tonight,1
Today was tough but I'm managing,0
Today was tough but I'm managing,0
I've planned to take pills,1
I'm feeling down but talking to friends helps,0
"I can't go on anymore, goodbye",1
Therapy is helping me cope,0
I want to end my life tonight,1
"I can't go on anymore, goodbye",1
Trying to stay positive despite stress,0
Trying to stay positive despite stress,0
"I can't go on anymore, goodbye",1
Trying to stay positive despite stress,0
I'm feeling down but talking to friends helps,0
Trying to stay positive despite stress,0
Therapy is helping me cope,0
"I can't go on anymore, goodbye",1
Trying to stay positive despite stress,0
Therapy is helping me cope,0
"Feeling hopeless, no reason to live",1
I want to end my life tonight,1
"Feeling hopeless, no reason to live",1
"I can't go on anymore, goodbye",1
I want to end my life tonight,1
I want to end my life tonight,1
"Feeling hopeless, no reason to live",1
